instance,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
r101_21,total_charged_energy,median,836.9325451726427,836.9325451726427,0.0,0.0,unchanged,pass,total_charged_energy median is equal within tolerance 1e-09
r101_21,total_charged_energy,worst,869.1267414389955,869.1267414389955,0.0,0.0,unchanged,pass,total_charged_energy worst is equal within tolerance 1e-09
r101_21,total_charged_energy,standard_deviation,20.124478832629343,20.124478832629343,0.0,0.0,unchanged,pass,total_charged_energy standard_deviation is equal within tolerance 1e-09
r101_21,total_charging_time,best,393.93659110167573,393.93659110167573,0.0,0.0,unchanged,pass,total_charging_time best is equal within tolerance 1e-09
r101_21,total_charging_time,mean,404.281682891754,404.281682891754,0.0,0.0,unchanged,pass,total_charging_time mean is equal within tolerance 1e-09
r101_21,total_charging_time,median,401.72762168286846,401.72762168286846,0.0,0.0,unchanged,pass,total_charging_time median is equal within tolerance 1e-09
r101_21,total_charging_time,worst,417.18083589071784,417.18083589071784,0.0,0.0,unchanged,pass,total_charging_time worst is equal within tolerance 1e-09
r101_21,total_charging_time,standard_deviation,9.659749839662112,9.659749839662112,0.0,0.0,unchanged,pass,total_charging_time standard_deviation is equal within tolerance 1e-09
r101_21,total_distance,best,1788.215596960292,1788.215596960292,0.0,0.0,unchanged,pass,total_distance best is equal within tolerance 1e-09
r101_21,total_distance,mean,1904.0433680353756,1904.0433680353756,0.0,0.0,unchanged,pass,total_distance mean is equal within tolerance 1e-09
r101_21,total_distance,median,1832.1374527829876,1832.1374527829876,0.0,0.0,unchanged,pass,total_distance median is equal within tolerance 1e-09
r101_21,total_distance,worst,2091.7770543628476,2091.7770543628476,0.0,0.0,unchanged,pass,total_distance worst is equal within tolerance 1e-09
r101_21,total_distance,standard_deviation,133.95331298952286,133.95331298952286,0.0,0.0,unchanged,pass,total_distance standard_deviation is equal within tolerance 1e-09
r101_21,total_energy,best,1788.215596960292,1788.215596960292,0.0,0.0,unchanged,pass,total_energy best is equal within tolerance 1e-09
r101_21,total_energy,mean,1904.0433680353756,1904.0433680353756,0.0,0.0,unchanged,pass,total_energy mean is equal within tolerance 1e-09
r101_21,total_energy,median,1832.1374527829876,1832.1374527829876,0.0,0.0,unchanged,pass,total_energy median is equal within tolerance 1e-09
r101_21,total_energy,worst,2091.7770543628476,2091.7770543628476,0.0,0.0,unchanged,pass,total_energy worst is equal within tolerance 1e-09
r101_21,total_energy,standard_deviation,133.95331298952286,133.95331298952286,0.0,0.0,unchanged,pass,total_energy standard_deviation is equal within tolerance 1e-09
r101_21,vehicle_count,best,22.0,22.0,0.0,0.0,unchanged,pass,vehicle_count best is equal within tolerance 1e-09
r101_21,vehicle_count,mean,24.333333333333332,24.333333333333332,0.0,0.0,unchanged,pass,vehicle_count mean is equal within tolerance 1e-09
r101_21,vehicle_count,median,23.0,23.0,0.0,0.0,unchanged,pass,vehicle_count median is equal within tolerance 1e-09
r101_21,vehicle_count,worst,28.0,28.0,0.0,0.0,unchanged,pass,vehicle_count worst is equal within tolerance 1e-09
r101_21,vehicle_count,standard_deviation,2.6246692913372702,2.6246692913372702,0.0,0.0,unchanged,pass,vehicle_count standard_deviation is equal within tolerance 1e-09
r103C10,feasibility_rate,mean,1.0,1.0,0.0,0.0,unchanged,pass,feasibility_rate mean is equal within tolerance 1e-09
r103C10,iterations,best,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations best is equal within tolerance 1e-09
r103C10,iterations,mean,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations mean is equal within tolerance 1e-09
r103C10,iterations,median,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations median is equal within tolerance 1e-09
r103C10,iterations,worst,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations worst is equal within tolerance 1e-09
r103C10,iterations,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,iterations standard_deviation is equal within tolerance 1e-09
r103C10,runtime_seconds,best,0.5007695000022068,0.4893494170028134,-0.011420082999393344,-0.022805068997498887,improvement,pass,candidate improved because lower runtime_seconds best is better
r103C10,runtime_seconds,mean,0.5462026526705207,0.5336114863360611,-0.012591166334459558,-0.023052188181251432,improvement,pass,candidate improved because lower runtime_seconds mean is better
r103C10,runtime_seconds,median,0.526106625002285,0.5137539580027806,-0.012352666999504436,-0.023479398305335512,improvement,pass,candidate improved because lower runtime_seconds median is better
