run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_hits,19117
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_lookups,20252
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_misses,1135
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r103C10,2015,cache_stores,1135
stage03.2_cache_incremental_attempt03,r103C10,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r103C10,2015,incremental_propagations,34
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_hits,18350
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_lookups,19213
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_misses,863
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r103C10,2016,cache_stores,863
stage03.2_cache_incremental_attempt03,r103C10,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r103C10,2016,incremental_propagations,34
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_hits,32440
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_lookups,32814
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_misses,374
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C15,2014,cache_stores,374
stage03.2_cache_incremental_attempt03,r105C15,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C15,2014,incremental_propagations,42
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_hits,33502
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_lookups,33915
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_misses,413
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C15,2015,cache_stores,413
stage03.2_cache_incremental_attempt03,r105C15,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C15,2015,incremental_propagations,42
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_hits,32220
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_lookups,32674
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_misses,454
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C15,2016,cache_stores,454
stage03.2_cache_incremental_attempt03,r105C15,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C15,2016,incremental_propagations,42
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_hits,4114
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_lookups,4136
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_misses,22
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C5,2014,cache_stores,22
stage03.2_cache_incremental_attempt03,r105C5,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C5,2014,incremental_propagations,21
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_hits,4075
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_lookups,4097
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_misses,22
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C5,2015,cache_stores,22
stage03.2_cache_incremental_attempt03,r105C5,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C5,2015,incremental_propagations,21
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_hits,4165
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_lookups,4187
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_misses,22
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r105C5,2016,cache_stores,22
stage03.2_cache_incremental_attempt03,r105C5,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r105C5,2016,incremental_propagations,21
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_hits,15016
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_lookups,16598
stage03.2_cache_incremental_attempt03,rc101_21,2014,cache_misses,1582
