axis,count,instance,reason,seed,status
parallel_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2014,rejected
serial_wall_clock,11,rc105C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,343,rc105C5,,2014,pass
serial_wall_clock,330,rc105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,29,rc105C5,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,11,rc105C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,343,rc105C5,,2014,pass
parallel_wall_clock,330,rc105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,29,rc105C5,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,121,rc105C5,,2015,pass
serial_fixed_exact_calls,40,rc105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,121,rc105C5,,2015,pass
parallel_fixed_exact_calls,40,rc105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2015,rejected
serial_wall_clock,11,rc105C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,395,rc105C5,,2015,pass
serial_wall_clock,265,rc105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,29,rc105C5,forward_time_window_prefilter,2015,rejected
parallel_wall_clock,11,rc105C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_wall_clock,395,rc105C5,,2015,pass
parallel_wall_clock,265,rc105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,29,rc105C5,forward_time_window_prefilter,2015,rejected
serial_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,121,rc105C5,,2016,pass
serial_fixed_exact_calls,40,rc105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,121,rc105C5,,2016,pass
parallel_fixed_exact_calls,40,rc105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2016,rejected
serial_wall_clock,11,rc105C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,337,rc105C5,,2016,pass
serial_wall_clock,235,rc105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,29,rc105C5,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,11,rc105C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,337,rc105C5,,2016,pass
parallel_wall_clock,235,rc105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,29,rc105C5,forward_time_window_prefilter,2016,rejected
